 Type,BHK,Area,LocalityScore,Sqft,Age,SwimmingPool,Lift,JoggingTrack,IndoorGames,Gym,ClubHouse,ChildrenPlayArea,CarParking,ATM,Sports,MultipurposeRoom,Furniture,Price
Villa,3,Chandkheda,9.9,1890,9,0,0,0,0,0,0,0,1,0,0,0,Unfurnished,9000000
Villa,4,Chandkheda,9.9,2745,4,0,0,1,0,1,1,0,1,1,0,0,Furnished,16500000
Apartment,3,Chandkheda,9.9,1755,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,3000000
Apartment,2,Chandkheda,9.9,1200,6,0,1,1,0,1,0,0,1,0,0,0,Unfurnished,3900000
Villa,3,Chandkheda,9.9,1890,-1,1,0,0,0,1,1,1,0,0,1,0,Unfurnished,9000000
Villa,2,Chandkheda,9.9,2450,4,0,1,0,0,0,0,0,0,0,0,0,Furnished,5500000
Villa,4,Chandkheda,9.9,2655,9,0,0,0,0,1,0,1,0,0,0,0,Semi-Furnished,12100000
Apartment,3,Chandkheda,9.9,1521,4,0,1,1,0,1,1,0,1,0,0,0,Semi-Furnished,5600000
Apartment,3,Chandkheda,9.9,1700,2,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,6000000
Apartment,3,Chandkheda,9.9,1746,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,5500000
Apartment,2,Chandkheda,9.9,990,2,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,3500000
Apartment,2,Chandkheda,9.9,1125,3,0,1,0,0,0,0,1,1,0,0,0,Unfurnished,3400000
Apartment,3,Chandkheda,9.9,2115,9,1,1,1,1,1,1,1,0,0,1,0,Furnished,7700000
Apartment,2,Chandkheda,9.9,945,3,1,1,1,0,1,1,1,0,0,0,0,Furnished,3300000
Apartment,3,Chandkheda,9.9,1980,2,1,1,0,1,1,1,1,0,0,0,0,Unfurnished,8100000
Apartment,2,Chandkheda,9.9,1374,3,0,1,0,0,1,1,1,1,0,1,1,Unfurnished,4000000
Apartment,2,Chandkheda,9.9,1350,4,1,1,1,1,0,1,1,0,0,0,0,Unfurnished,3900000
Apartment,2,Chandkheda,9.9,1200,17,0,0,0,0,0,0,0,1,1,0,0,Unfurnished,2800000
Apartment,3,Chandkheda,9.9,1350,2,0,1,1,0,0,1,1,1,0,0,0,Semi-Furnished,5000000
Apartment,2,Chandkheda,9.9,990,2,0,1,1,0,0,1,1,1,0,0,0,Semi-Furnished,3500000
Apartment,2,Chandkheda,9.9,1215,4,0,0,1,0,1,1,0,1,0,0,0,Semi-Furnished,4500000
Apartment,3,Chandkheda,9.9,1836,1,0,1,0,0,1,0,1,0,0,0,0,Semi-Furnished,6400000
Apartment,2,Chandkheda,9.9,1296,1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,4500000
Apartment,3,Chandkheda,9.9,2205,-1,0,1,0,0,0,0,1,0,0,0,0,Semi-Furnished,8400000
Apartment,3,Chandkheda,9.9,1935,-1,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,6700000
Apartment,2,Chandkheda,9.9,1160,-1,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,3000000
Apartment,2,Chandkheda,9.9,750,7,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,3300000
Apartment,2,Chandkheda,9.9,1220,-1,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,3600000
